,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP
21,12,1,3,3,1,1,0,0,0,7,9,5,13.928,0,8,9,7,14.342857142857142,11.1,2.02
22,10,1,10,10,1,1,0,0,0,6,6,6,11.666666666666666,0,6,8,5,13.2,11.1,2.02
23,12,1,8,8,1,1,1,0,0,7,8,6,13.516666666666666,0,8,9,7,13.771428571428572,11.1,2.02
24,10,1,10,10,0,1,1,0,0,6,7,5,12.333333333333334,0,6,7,6,12.833333333333334,12.7,-1.7
25,11,1,10,8,0,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,14.166666666666666,12.4,1.79
26,8,1,12,12,0,1,0,0,0,5,7,5,14.714285714285714,0,5,5,5,15.8,7.6,0.32
27,12,1,6,6,1,1,0,0,0,7,9,7,13.044444444444444,0,8,10,8,13.595,15.5,-4.06
28,11,1,5,4,0,1,0,0,0,6,10,0,0.0,0,6,6,0,0.0,12.4,1.79
29,12,1,8,11,1,1,0,0,0,8,8,8,14.935,0,8,8,8,14.935,9.4,-3.12
30,12,1,10,10,0,1,0,0,0,7,8,6,13.133333333333333,0,8,12,7,12.221428571428572,16.2,-0.92
31,2,1,6,4,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74
32,4,1,10,10,1,1,0,0,0,6,8,6,12.571428571428571,0,6,7,6,12.428571428571429,8.9,3.51
33,9,1,8,8,0,1,0,0,0,5,8,5,11.2,0,5,10,4,10.75,16.2,-0.92
34,12,1,9,5,0,1,0,0,0,7,8,7,11.975,0,8,8,8,13.75,13.9,0.79
35,2,1,6,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06
36,11,1,6,8,1,1,0,0,0,6,12,3,11.666666666666666,0,6,12,1,12.0,12.4,1.79
37,15,1,10,10,1,1,0,0,0,6,8,6,12.333333333333334,0,6,11,3,12.333333333333334,10.8,1.74
38,9,1,5,8,1,1,0,0,0,5,8,3,10.333333333333334,0,5,11,3,10.857142857142858,10.8,1.74
39,11,1,8,8,1,1,1,0,0,6,8,4,10.5,0,6,11,1,11.0,9.4,-3.12
40,15,1,10,9,1,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,8.9,3.51
41,12,1,10,10,0,1,1,0,0,7,7,7,14.842857142857142,0,8,9,8,15.055555555555555,16.2,-0.92
42,16,1,10,10,1,1,0,0,0,6,8,5,12.2,0,6,7,5,12.2,10.8,1.74
43,12,1,10,8,1,1,1,0,0,8,8,7,13.08,0,8,8,7,13.08,10.8,1.74
44,14,1,5,6,0,1,1,0,0,5,7,4,10.5,0,5,7,5,11.6,9.4,-3.12
45,5,1,5,1,1,1,0,0,0,6,9,6,10.666666666666666,0,6,6,5,11.2,7.6,0.32
46,12,1,5,11,0,1,0,0,0,7,18,0,0.0,0,7,7,0,0.0,13.9,0.79
47,16,1,1,1,0,1,0,0,0,6,12,3,12.666666666666666,0,6,14,0,0.0,7.6,0.32
48,15,1,6,6,1,1,0,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,8.9,3.51
49,12,1,8,8,1,1,1,0,0,7,7,7,13.75,0,8,9,8,14.47777777777778,12.4,1.79
50,2,1,10,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,16.2,-0.92
51,16,1,10,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02
52,10,1,5,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,16.2,-0.92
53,6,1,5,5,1,1,0,0,0,6,15,4,14.2,0,6,17,4,13.25,15.5,-4.06
54,10,1,7,8,1,1,0,0,0,6,8,6,13.857142857142858,0,6,6,6,15.0,13.9,0.79
55,6,1,10,10,1,1,0,0,0,5,6,5,13.4,0,5,5,5,12.8,10.8,1.74
56,15,1,5,8,1,1,0,0,0,6,6,6,12.666666666666666,0,6,7,6,12.571428571428571,10.8,1.74
57,12,1,10,10,1,1,0,0,0,7,7,6,12.516666666666666,0,7,7,6,12.516666666666666,7.6,0.32
58,6,1,10,8,0,1,0,0,0,5,12,5,13.142857142857142,0,5,6,5,11.4,9.4,-3.12
59,9,1,5,6,0,1,0,0,0,5,5,5,12.6,0,5,5,5,14.0,11.1,2.02
60,11,1,5,6,1,1,0,0,0,6,12,3,11.0,0,6,12,2,11.0,9.4,-3.12
61,9,1,10,8,1,1,0,0,0,5,8,5,10.8,0,5,9,4,11.25,16.2,-0.92
62,2,1,3,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74
63,14,1,10,10,0,1,1,0,0,5,5,5,12.8,0,5,5,5,14.2,9.4,-3.12
64,6,1,5,8,1,1,0,0,0,6,15,6,14.166666666666666,0,6,13,6,12.2,15.5,-4.06
65,13,1,5,6,1,1,0,0,0,7,12,5,12.1,0,7,0,0,0.0,13.9,0.79
66,10,1,6,4,1,1,0,0,0,6,7,6,13.0,0,6,6,6,13.666666666666666,12.4,1.79
67,12,1,9,10,1,1,0,0,0,7,7,7,13.467142857142855,0,8,9,8,15.011111111111113,12.4,1.79
68,12,1,6,9,1,1,1,0,0,7,9,7,13.2375,0,8,9,7,13.742857142857144,13.9,0.79
69,5,1,10,10,1,1,0,0,0,6,6,6,12.333333333333334,0,6,6,6,13.0,7.6,0.32
70,9,1,5,9,1,1,0,0,0,5,7,5,12.4,0,5,5,5,14.6,8.9,3.51
71,12,1,4,4,1,1,0,0,0,7,8,5,14.0,0,7,7,0,0.0,13.9,0.79
72,14,1,6,6,1,1,0,0,0,5,7,4,12.2,0,5,5,4,11.5,7.6,0.32
73,15,1,20,39,0,1,1,0,0,6,6,6,14.833333333333334,0,6,6,6,14.833333333333334,8.9,3.51
74,12,1,5,9,0,1,0,0,0,7,8,7,17.125,0,8,8,8,17.5875,13.9,0.79
75,12,1,10,10,1,1,0,0,0,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,7.6,0.32
76,15,1,5,5,1,1,1,0,0,6,8,6,12.666666666666666,0,6,10,5,12.0,12.4,1.79
77,10,1,10,11,1,1,1,0,0,6,7,6,11.333333333333334,0,6,6,6,11.5,12.4,1.79
78,12,1,10,8,1,1,1,0,0,7,10,7,13.605,0,8,11,8,12.33125,15.5,-4.06
79,16,1,6,7,1,1,1,0,0,6,10,5,12.0,0,6,9,5,10.8,9.4,-3.12
80,11,1,10,10,1,1,0,0,0,5,10,0,0.0,0,5,10,0,0.0,7.6,0.32
81,11,1,10,11,1,1,0,0,0,6,8,5,11.2,0,6,12,3,11.666666666666666,7.6,0.32
82,9,1,3,11,0,1,0,0,0,5,10,5,13.375,0,5,9,5,14.166666666666666,13.9,0.79
83,12,1,10,10,0,1,1,0,0,7,8,6,13.863333333333337,0,8,9,7,14.178571428571429,11.1,2.02
84,6,1,5,8,0,1,0,0,0,5,6,5,12.4,0,5,6,5,13.4,7.6,0.32
85,16,1,10,10,1,1,0,0,0,6,7,6,13.333333333333334,0,6,8,5,11.8,7.6,0.32
86,16,1,3,6,1,1,0,0,0,6,10,3,12.666666666666666,0,6,12,3,10.0,9.4,-3.12
87,16,1,7,7,0,1,0,0,0,6,8,6,12.0,0,6,10,4,11.5,7.6,0.32
88,9,1,10,10,0,1,1,0,0,5,5,5,10.6,0,5,5,5,11.8,12.4,1.79
89,10,1,8,10,1,1,1,0,0,6,8,6,12.25,0,6,7,6,11.857142857142858,12.7,-1.7
90,10,1,10,11,1,1,0,0,0,6,10,4,11.0,0,6,9,6,11.833333333333334,9.4,-3.12
91,14,1,5,2,0,1,0,0,0,6,6,6,13.166666666666666,0,6,9,6,13.0,10.8,1.74
92,12,1,10,8,1,1,1,0,0,7,9,7,12.855555555555554,0,8,12,7,12.761111111111113,15.5,-4.06
93,12,1,10,10,1,1,0,0,0,7,8,7,14.91875,0,8,8,8,15.355,15.5,-4.06
94,16,1,5,5,1,1,0,0,0,6,13,4,11.5,0,6,10,3,11.0,10.8,1.74
95,14,1,6,5,0,1,0,0,0,5,5,5,14.2,0,5,5,5,14.2,7.6,0.32
96,15,1,8,8,0,1,1,0,0,6,6,6,12.5,0,6,7,6,13.0,15.5,-4.06
97,10,1,8,9,0,1,0,0,0,6,10,5,11.666666666666666,0,6,12,4,11.0,13.9,0.79
98,10,1,5,9,1,1,0,0,0,6,13,3,12.0,0,6,12,2,11.333333333333334,16.2,-0.92
99,13,1,4,11,0,1,0,0,0,7,8,7,12.457142857142856,0,8,8,8,13.5625,15.5,-4.06
100,12,1,5,6,1,1,0,0,0,7,7,6,11.683333333333332,0,7,7,6,11.683333333333332,7.6,0.32
101,16,1,10,6,0,1,0,0,0,6,9,5,13.2,0,6,10,5,12.0,7.6,0.32
102,12,1,12,12,1,1,0,0,0,7,8,4,11.95,0,7,8,4,11.95,7.6,0.32
103,16,1,10,6,1,1,0,0,0,6,8,5,12.4,0,6,12,5,10.4,9.4,-3.12
104,11,1,5,7,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02
105,12,1,10,5,1,1,1,0,0,7,7,6,13.05,0,7,7,6,13.05,7.6,0.32
106,6,1,10,10,1,1,0,0,0,6,10,2,11.0,0,6,6,0,0.0,8.9,3.51
107,5,1,5,2,1,1,0,0,0,6,7,6,11.5,0,6,6,6,12.0,16.2,-0.92
108,11,1,10,9,0,1,1,0,0,6,7,6,12.0,0,6,6,6,12.5,13.9,0.79
109,9,1,5,4,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32
110,16,1,5,11,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79
111,12,1,10,9,1,1,0,0,0,8,8,7,12.242857142857144,0,8,8,7,12.242857142857144,12.7,-1.7
112,12,1,6,6,1,1,0,0,0,8,8,8,12.93375,0,8,8,8,12.93375,9.4,-3.12
113,7,1,3,3,0,1,0,0,0,5,0,0,0.0,0,5,0,0,0.0,13.9,0.79
114,16,1,4,9,0,1,0,0,0,7,9,7,12.571428571428571,0,7,8,7,14.428571428571429,11.1,2.02
115,6,1,5,8,1,1,0,0,0,5,9,4,13.75,0,5,13,4,14.333333333333334,10.8,1.74
116,10,1,5,1,1,1,0,0,0,6,8,6,11.166666666666666,0,6,6,6,11.333333333333334,7.6,0.32
117,12,1,8,8,1,1,0,0,0,8,8,7,12.324285714285711,0,8,8,7,12.324285714285711,10.8,1.74
118,10,1,10,9,0,1,1,0,0,6,11,5,11.142857142857142,0,6,11,4,11.25,16.2,-0.92
119,10,1,1,1,1,1,0,0,0,6,9,4,11.0,0,6,9,4,10.75,7.6,0.32
120,12,1,10,10,1,1,0,0,0,8,8,7,12.914285714285713,0,8,8,7,12.914285714285713,12.7,-1.7
121,15,1,2,5,1,1,1,0,0,6,6,6,13.833333333333334,0,6,6,6,14.166666666666666,16.2,-0.92
122,6,1,9,8,1,1,0,0,0,6,8,6,13.857142857142858,0,6,9,5,13.4,13.9,0.79
123,11,1,3,4,0,1,1,0,0,6,7,6,13.714285714285714,0,6,6,5,12.8,16.2,-0.92
124,12,1,8,5,1,1,1,0,0,8,8,7,12.642857142857142,0,8,8,7,12.642857142857142,12.7,-1.7
125,12,1,10,10,0,1,1,0,0,7,7,6,12.916666666666666,0,7,7,6,12.916666666666666,7.6,0.32
126,8,1,10,3,1,1,1,0,0,6,8,6,15.625,0,6,8,6,15.857142857142858,13.9,0.79
127,15,1,5,6,0,1,0,0,0,6,8,6,11.714285714285714,0,6,7,6,12.0,7.6,0.32
128,9,1,6,6,1,1,1,0,0,5,7,5,11.6,0,5,5,5,11.6,12.4,1.79
129,6,1,2,4,0,1,0,0,0,5,10,0,0.0,0,5,9,2,13.5,7.6,0.32
130,9,1,8,8,0,1,1,0,0,5,7,4,13.0,0,5,8,3,12.333333333333334,9.4,-3.12
131,16,1,6,8,0,1,1,0,0,6,6,6,13.333333333333334,0,6,6,6,14.5,10.8,1.74
132,11,1,4,4,1,1,0,0,0,6,9,4,11.25,0,6,13,2,12.5,9.4,-3.12
133,12,1,6,10,0,1,1,0,0,7,9,5,13.85,0,8,9,7,12.19285714285714,11.1,2.02
134,12,1,5,6,1,1,1,0,0,7,8,6,13.741666666666667,0,8,9,7,14.9125,16.2,-0.92
135,9,1,4,11,0,1,0,0,0,5,6,5,11.0,0,5,5,5,13.8,12.4,1.79
136,10,1,10,10,0,1,1,0,0,6,6,6,12.0,0,6,7,6,12.857142857142858,11.1,2.02
137,14,1,1,1,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32
138,12,1,6,9,1,1,1,0,0,8,15,7,11.571428571428571,0,8,15,7,11.571428571428571,12.7,-1.7
139,11,1,5,6,1,1,0,0,0,6,10,6,12.857142857142858,0,6,6,3,12.666666666666666,12.7,-1.7
140,11,1,5,7,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06
141,14,1,5,4,0,1,0,0,0,5,5,5,13.0,0,5,5,5,13.2,9.4,-3.12
142,11,1,10,10,0,1,1,0,0,6,9,5,11.0,0,6,8,5,12.0,15.5,-4.06
143,9,1,10,11,0,1,0,0,0,5,12,3,12.0,0,5,12,1,15.0,16.2,-0.92
144,10,1,10,10,0,1,1,0,0,6,6,5,12.6,0,6,6,6,13.0,10.8,1.74
145,16,1,6,8,0,1,1,0,0,6,8,5,13.4,0,6,7,6,13.166666666666666,9.4,-3.12
146,10,1,4,10,0,1,1,0,0,6,9,6,11.333333333333334,0,6,9,6,11.571428571428571,15.5,-4.06
147,9,1,6,6,1,1,1,0,0,5,5,5,11.6,0,5,5,5,13.6,12.4,1.79
148,12,1,6,4,0,1,0,0,0,8,8,8,13.22,0,8,8,8,13.22,9.4,-3.12
149,12,1,8,7,1,1,1,0,0,8,8,7,13.151428571428571,0,8,8,7,13.151428571428571,10.8,1.74
150,11,1,5,8,1,1,0,0,0,6,8,6,11.333333333333334,0,6,8,4,12.25,11.1,2.02
151,14,1,10,9,1,1,1,0,0,6,10,6,13.25,0,6,13,5,14.142857142857142,11.1,2.02
152,15,1,8,8,1,1,1,0,0,6,6,6,15.0,0,6,6,6,12.833333333333334,8.9,3.51
153,6,1,12,7,0,1,0,0,0,5,6,5,14.4,0,5,6,5,13.0,7.6,0.32
154,9,1,5,5,0,1,0,0,0,5,8,5,12.4,0,5,6,5,10.8,8.9,3.51
155,10,1,10,9,1,1,1,0,0,6,8,5,11.666666666666666,0,6,9,5,12.666666666666666,12.4,1.79
156,11,1,10,8,0,1,1,0,0,6,8,6,11.166666666666666,0,6,10,5,10.6,15.5,-4.06
157,10,1,5,5,0,1,0,0,0,6,7,6,14.0,0,6,7,6,14.0,10.8,1.74
158,10,1,10,6,0,1,0,0,0,6,6,6,12.833333333333334,0,6,6,6,12.0,12.4,1.79
159,15,1,2,4,1,1,0,0,0,6,11,4,12.25,0,6,10,3,11.666666666666666,9.4,-3.12
160,12,1,3,4,1,1,0,0,0,8,8,7,14.828571428571427,0,8,8,7,14.828571428571427,12.7,-1.7
161,15,1,10,10,1,1,1,0,0,6,7,5,11.4,0,6,8,5,12.8,12.7,-1.7
162,5,1,10,10,1,1,1,0,0,6,6,6,13.0,0,6,8,6,12.5,10.8,1.74
163,12,1,10,10,0,1,1,0,0,8,8,7,13.671428571428573,0,8,8,7,13.671428571428573,12.7,-1.7
164,4,1,5,9,0,1,1,0,0,6,9,6,12.666666666666666,0,6,8,5,12.8,13.9,0.79
165,9,1,5,9,1,1,0,0,0,5,10,5,13.5,0,5,8,5,12.333333333333334,13.9,0.79
166,10,1,5,6,0,1,0,0,0,6,8,6,14.5,0,6,7,6,15.428571428571429,16.2,-0.92
167,12,1,5,11,1,1,0,0,0,7,7,7,13.685714285714283,0,8,8,8,15.3875,13.9,0.79
168,16,1,4,4,0,1,0,0,0,6,8,5,11.0,0,6,10,3,10.666666666666666,12.7,-1.7
169,12,1,6,6,1,1,1,0,0,7,8,7,14.00375,0,8,11,7,13.812857142857142,15.5,-4.06
170,9,1,10,10,1,1,1,0,0,5,8,4,12.0,0,5,8,4,11.4,16.2,-0.92
171,5,1,8,6,0,1,1,0,0,6,7,5,13.8,0,6,6,6,12.833333333333334,16.2,-0.92
172,15,1,5,5,0,1,0,0,0,6,6,6,12.166666666666666,0,6,6,6,13.833333333333334,7.6,0.32
173,12,1,2,2,1,1,0,0,0,8,8,8,13.385,0,8,8,8,13.385,9.4,-3.12
174,6,1,5,11,1,1,0,0,0,6,14,6,15.666666666666666,0,6,9,6,14.5,15.5,-4.06
175,4,1,7,7,0,1,1,0,0,6,9,6,14.333333333333334,0,6,7,6,13.833333333333334,13.9,0.79
176,10,1,29,29,1,1,1,0,0,6,9,6,11.666666666666666,0,6,8,6,11.666666666666666,8.9,3.51
177,5,1,4,7,1,1,1,0,0,6,9,5,12.0,0,6,10,2,11.333333333333334,8.9,3.51
178,12,1,3,5,0,1,1,0,0,8,8,7,14.725714285714288,0,8,8,7,14.725714285714288,10.8,1.74
179,15,1,10,9,1,1,1,0,0,6,6,6,14.166666666666666,0,6,6,6,13.666666666666666,12.4,1.79
180,10,1,4,4,1,1,0,0,0,6,10,6,11.571428571428571,0,6,8,6,12.333333333333334,12.4,1.79
181,13,1,5,11,1,1,0,0,0,7,7,7,12.5,0,8,8,8,13.1375,12.4,1.79
182,12,1,6,8,0,1,0,0,0,8,10,8,12.86,0,8,10,8,12.86,9.4,-3.12
183,14,1,10,8,1,1,0,0,0,6,10,6,12.25,0,6,9,6,13.714285714285714,11.1,2.02
184,6,1,10,10,1,1,1,0,0,5,7,4,12.0,0,5,5,5,12.2,10.8,1.74
185,12,1,5,10,0,1,1,0,0,7,9,7,15.116666666666667,0,8,9,8,16.168888888888887,15.5,-4.06
186,10,1,5,4,1,1,0,0,0,6,11,0,0.0,0,6,0,0,0.0,9.4,-3.12
187,14,1,6,6,1,1,0,0,0,6,8,6,11.875,0,6,11,4,14.6,11.1,2.02
188,6,1,12,12,0,1,0,0,0,5,5,5,15.2,0,5,6,5,13.2,7.6,0.32
189,10,1,3,2,0,1,0,0,0,6,6,6,14.833333333333334,0,6,7,6,15.142857142857142,11.1,2.02
190,16,1,1,1,1,1,0,0,0,6,12,3,11.333333333333334,0,6,10,3,11.333333333333334,7.6,0.32
191,9,1,5,9,0,1,1,0,0,5,5,5,11.2,0,5,5,5,11.8,11.1,2.02
192,16,1,6,8,1,1,1,0,0,6,8,5,13.4,0,6,9,5,13.666666666666666,9.4,-3.12
193,9,1,5,5,0,1,0,0,0,5,12,2,10.5,0,5,5,0,0.0,11.1,2.02
194,9,1,5,4,0,1,0,0,0,5,5,5,16.2,0,5,5,5,16.4,11.1,2.02
195,12,1,4,7,1,1,1,0,0,7,7,7,14.542857142857144,0,8,11,8,14.88181818181818,16.2,-0.92
196,12,1,4,6,0,1,0,0,0,7,7,7,13.694285714285714,0,8,9,8,14.355555555555554,11.1,2.02
197,10,1,6,10,0,1,1,0,0,6,8,6,11.285714285714286,0,6,10,6,11.857142857142858,12.4,1.79
198,12,1,8,10,1,1,1,0,0,8,8,7,13.058571428571428,0,8,8,7,13.058571428571428,10.8,1.74
199,12,1,6,2,0,1,0,0,0,7,7,7,14.3,0,8,9,8,14.055555555555555,16.2,-0.92
200,11,1,6,9,1,1,0,0,0,6,7,6,10.571428571428571,0,6,11,3,11.666666666666666,16.2,-0.92
201,12,1,10,10,1,1,0,0,0,7,7,6,13.333333333333334,0,7,7,6,13.333333333333334,7.6,0.32
202,10,1,10,7,0,1,0,0,0,6,10,6,11.857142857142858,0,6,9,5,11.0,13.9,0.79
203,7,1,5,8,0,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,16.2,-0.92
204,10,1,8,8,1,1,0,0,0,6,7,6,12.0,0,6,7,6,13.0,12.4,1.79
205,10,1,5,10,1,1,1,0,0,6,6,6,12.166666666666666,0,6,9,6,13.666666666666666,9.4,-3.12
206,16,1,3,2,0,1,0,0,0,7,8,7,15.0,0,7,7,7,14.571428571428571,12.4,1.79
207,12,1,8,8,1,1,1,0,0,8,8,8,13.39125,0,8,8,8,13.39125,9.4,-3.12
208,10,1,10,11,0,1,0,0,0,6,9,5,12.166666666666666,0,6,8,6,12.428571428571429,13.9,0.79
209,8,1,4,6,0,1,0,0,0,5,9,4,11.25,0,5,6,4,12.5,7.6,0.32
210,2,1,3,3,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06
211,4,1,2,3,0,1,0,0,0,6,10,6,14.0,0,6,11,6,13.1,16.2,-0.92
212,15,1,8,6,1,1,0,0,0,6,7,6,13.5,0,6,8,6,12.5,9.4,-3.12
213,10,1,10,10,0,1,0,0,0,6,8,6,13.0,0,6,6,6,13.833333333333334,12.7,-1.7
214,11,1,10,10,1,1,0,0,0,6,9,4,12.6,0,6,6,4,11.5,12.7,-1.7
215,15,1,10,9,0,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,12.4,1.79
216,12,1,10,8,0,1,1,0,0,7,7,6,14.2,0,7,7,6,14.2,7.6,0.32
217,6,1,5,6,1,1,0,0,0,6,7,6,15.0,0,6,7,6,16.428571428571427,11.1,2.02
218,12,1,10,10,0,1,0,0,0,7,9,6,12.585714285714284,0,8,9,7,13.44285714285714,13.9,0.79
219,6,1,3,4,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,8.9,3.51
220,16,1,5,2,1,1,0,0,0,6,7,6,11.666666666666666,0,6,10,6,11.833333333333334,10.8,1.74
221,15,1,10,8,0,1,0,0,0,6,13,3,12.666666666666666,0,6,12,2,10.0,10.8,1.74
222,6,1,8,6,1,1,1,0,0,6,13,6,16.153846153846153,0,6,10,6,15.75,15.5,-4.06
223,12,1,5,9,1,1,1,0,0,7,7,6,14.033333333333331,0,7,7,6,14.033333333333331,7.6,0.32
224,16,1,29,46,1,1,1,0,0,7,8,7,13.857142857142858,0,7,8,6,13.666666666666666,8.9,3.51
225,12,1,10,6,1,1,0,0,0,8,8,7,13.414285714285716,0,8,8,7,13.414285714285716,12.7,-1.7
226,15,1,5,8,0,1,1,0,0,6,6,6,13.833333333333334,0,6,7,6,14.428571428571429,15.5,-4.06
227,6,1,5,8,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.7,-1.7
228,12,1,5,5,1,1,1,0,0,7,7,7,15.135714285714286,0,8,8,8,15.287499999999998,12.4,1.79
229,12,1,6,8,0,1,1,0,0,7,13,5,12.74,0,8,12,6,10.978571428571428,16.2,-0.92
230,16,1,6,6,0,1,1,0,0,6,7,6,13.428571428571429,0,6,6,6,13.166666666666666,15.5,-4.06
231,10,1,1,1,0,1,0,0,0,6,8,6,11.5,0,6,7,6,11.166666666666666,7.6,0.32
232,16,1,10,10,0,1,0,0,0,6,6,6,13.666666666666666,0,6,9,6,12.333333333333334,7.6,0.32
233,6,1,5,4,0,1,0,0,0,6,7,6,14.857142857142858,0,6,7,6,14.0,11.1,2.02
234,12,1,5,10,1,1,1,0,0,8,11,7,12.86,0,8,11,7,12.86,10.8,1.74
235,14,1,6,9,1,1,0,0,0,6,6,5,11.8,0,6,9,4,13.714285714285714,10.8,1.74
236,9,1,7,5,1,1,0,0,0,5,10,3,10.666666666666666,0,5,9,0,0.0,16.2,-0.92
237,12,1,6,6,1,1,0,0,0,8,8,7,14.731428571428571,0,8,8,7,14.731428571428571,10.8,1.74
238,2,1,4,10,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,12.7,-1.7
239,10,1,5,5,0,1,0,0,0,6,6,6,14.666666666666666,0,6,7,6,14.571428571428571,15.5,-4.06
240,6,1,1,1,0,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32
241,12,1,8,8,1,1,1,0,0,8,8,7,14.654285714285717,0,8,8,7,14.654285714285717,10.8,1.74
242,12,1,5,9,0,1,0,0,0,8,8,7,12.401428571428571,0,8,8,7,12.401428571428571,10.8,1.74
243,12,1,5,11,1,1,0,0,0,7,8,7,11.5875,0,8,9,7,14.071428571428571,13.9,0.79
244,10,1,10,8,1,1,1,0,0,6,9,6,12.333333333333334,0,6,6,6,11.833333333333334,8.9,3.51
245,6,1,12,12,0,1,0,0,0,5,5,5,14.0,0,5,6,5,15.4,7.6,0.32
246,6,1,10,10,1,1,0,0,0,6,13,6,15.23076923076923,0,6,10,6,12.375,15.5,-4.06
247,16,1,10,10,1,1,0,0,0,6,9,5,11.6,0,6,9,3,11.0,12.7,-1.7
248,12,1,10,10,1,1,1,0,0,7,7,6,11.6,0,7,7,6,11.6,7.6,0.32
249,12,1,5,6,0,1,0,0,0,7,0,0,0.0,0,8,0,0,0.0,12.7,-1.7
250,12,1,3,9,0,1,1,0,0,7,7,7,12.901428571428571,0,8,9,8,13.094444444444443,11.1,2.02
