,Application order,Course,Daytime/evening attendance,Mother's occupation,Father's occupation,Displaced,Tuition fees up to date,Scholarship holder,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Unemployment rate,GDP,Target
47,6,12,1,8,8,1,1,1,0,0,7,8,6,13.516666666666666,0,8,9,7,13.771428571428572,11.1,2.02,1
49,1,10,1,10,10,0,1,1,0,0,6,7,5,12.333333333333334,0,6,7,6,12.833333333333334,12.7,-1.7,1
50,1,11,1,10,8,0,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,14.166666666666666,12.4,1.79,1
53,3,8,1,12,12,0,1,0,0,0,5,7,5,14.714285714285714,0,5,5,5,15.8,7.6,0.32,1
55,1,12,1,6,6,1,1,0,0,0,7,9,7,13.044444444444444,0,8,10,8,13.595,15.5,-4.06,1
56,1,11,1,5,4,0,1,0,0,0,6,10,0,0.0,0,6,6,0,0.0,12.4,1.79,0
58,1,12,1,8,11,1,1,0,0,0,8,8,8,14.935,0,8,8,8,14.935,9.4,-3.12,1
60,2,12,1,10,10,0,1,0,0,0,7,8,6,13.133333333333333,0,8,12,7,12.221428571428572,16.2,-0.92,1
66,3,2,1,6,4,1,1,1,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,1
67,1,4,1,10,10,1,1,0,0,0,6,8,6,12.571428571428571,0,6,7,6,12.428571428571429,8.9,3.51,1
68,3,9,1,8,8,0,1,0,0,0,5,8,5,11.2,0,5,10,4,10.75,16.2,-0.92,0
71,1,12,1,9,5,0,1,0,0,0,7,8,7,11.975,0,8,8,8,13.75,13.9,0.79,1
72,1,2,1,6,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,0
73,4,11,1,6,8,1,1,0,0,0,6,12,3,11.666666666666666,0,6,12,1,12.0,12.4,1.79,0
74,2,15,1,10,10,1,1,0,0,0,6,8,6,12.333333333333334,0,6,11,3,12.333333333333334,10.8,1.74,1
75,3,9,1,5,8,1,1,0,0,0,5,8,3,10.333333333333334,0,5,11,3,10.857142857142858,10.8,1.74,0
76,4,11,1,8,8,1,1,1,0,0,6,8,4,10.5,0,6,11,1,11.0,9.4,-3.12,0
77,4,15,1,10,9,1,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,8.9,3.51,1
78,4,12,1,10,10,0,1,1,0,0,7,7,7,14.842857142857142,0,8,9,8,15.055555555555555,16.2,-0.92,1
80,6,16,1,10,10,1,1,0,0,0,6,8,5,12.2,0,6,7,5,12.2,10.8,1.74,0
85,1,12,1,10,8,1,1,1,0,0,8,8,7,13.08,0,8,8,7,13.08,10.8,1.74,1
86,1,14,1,5,6,0,1,1,0,0,5,7,4,10.5,0,5,7,5,11.6,9.4,-3.12,1
87,1,5,1,5,1,1,1,0,0,0,6,9,6,10.666666666666666,0,6,6,5,11.2,7.6,0.32,1
90,1,12,1,5,11,0,1,0,0,0,7,18,0,0.0,0,7,7,0,0.0,13.9,0.79,0
93,1,16,1,1,1,0,1,0,0,0,6,12,3,12.666666666666666,0,6,14,0,0.0,7.6,0.32,0
96,5,15,1,6,6,1,1,0,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,8.9,3.51,1
97,5,12,1,8,8,1,1,1,0,0,7,7,7,13.75,0,8,9,8,14.47777777777778,12.4,1.79,1
101,4,2,1,10,11,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,16.2,-0.92,1
104,1,16,1,10,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02,0
106,2,10,1,5,8,1,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,16.2,-0.92,0
107,1,6,1,5,5,1,1,0,0,0,6,15,4,14.2,0,6,17,4,13.25,15.5,-4.06,0
110,1,10,1,7,8,1,1,0,0,0,6,8,6,13.857142857142858,0,6,6,6,15.0,13.9,0.79,1
112,1,6,1,10,10,1,1,0,0,0,5,6,5,13.4,0,5,5,5,12.8,10.8,1.74,1
113,3,15,1,5,8,1,1,0,0,0,6,6,6,12.666666666666666,0,6,7,6,12.571428571428571,10.8,1.74,1
114,2,12,1,10,10,1,1,0,0,0,7,7,6,12.516666666666666,0,7,7,6,12.516666666666666,7.6,0.32,0
118,2,6,1,10,8,0,1,0,0,0,5,12,5,13.142857142857142,0,5,6,5,11.4,9.4,-3.12,1
119,1,9,1,5,6,0,1,0,0,0,5,5,5,12.6,0,5,5,5,14.0,11.1,2.02,1
120,1,11,1,5,6,1,1,0,0,0,6,12,3,11.0,0,6,12,2,11.0,9.4,-3.12,0
121,2,9,1,10,8,1,1,0,0,0,5,8,5,10.8,0,5,9,4,11.25,16.2,-0.92,1
122,1,2,1,3,10,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,10.8,1.74,0
123,1,14,1,10,10,0,1,1,0,0,5,5,5,12.8,0,5,5,5,14.2,9.4,-3.12,1
124,1,6,1,5,8,1,1,0,0,0,6,15,6,14.166666666666666,0,6,13,6,12.2,15.5,-4.06,1
125,6,13,1,5,6,1,1,0,0,0,7,12,5,12.1,0,7,0,0,0.0,13.9,0.79,0
128,3,10,1,6,4,1,1,0,0,0,6,7,6,13.0,0,6,6,6,13.666666666666666,12.4,1.79,1
129,6,12,1,9,10,1,1,0,0,0,7,7,7,13.467142857142855,0,8,9,8,15.011111111111113,12.4,1.79,1
130,3,12,1,6,9,1,1,1,0,0,7,9,7,13.2375,0,8,9,7,13.742857142857144,13.9,0.79,0
131,2,5,1,10,10,1,1,0,0,0,6,6,6,12.333333333333334,0,6,6,6,13.0,7.6,0.32,1
132,4,9,1,5,9,1,1,0,0,0,5,7,5,12.4,0,5,5,5,14.6,8.9,3.51,1
133,6,12,1,4,4,1,1,0,0,0,7,8,5,14.0,0,7,7,0,0.0,13.9,0.79,0
136,1,14,1,6,6,1,1,0,0,0,5,7,4,12.2,0,5,5,4,11.5,7.6,0.32,1
137,1,15,1,20,39,0,1,1,0,0,6,6,6,14.833333333333334,0,6,6,6,14.833333333333334,8.9,3.51,1
139,1,12,1,5,9,0,1,0,0,0,7,8,7,17.125,0,8,8,8,17.5875,13.9,0.79,1
140,5,12,1,10,10,1,1,0,0,0,7,7,6,12.666666666666666,0,7,7,6,12.666666666666666,7.6,0.32,1
141,6,15,1,5,5,1,1,1,0,0,6,8,6,12.666666666666666,0,6,10,5,12.0,12.4,1.79,1
143,3,10,1,10,11,1,1,1,0,0,6,7,6,11.333333333333334,0,6,6,6,11.5,12.4,1.79,1
144,3,12,1,10,8,1,1,1,0,0,7,10,7,13.605,0,8,11,8,12.33125,15.5,-4.06,1
145,5,16,1,6,7,1,1,1,0,0,6,10,5,12.0,0,6,9,5,10.8,9.4,-3.12,1
146,4,11,1,10,10,1,1,0,0,0,5,10,0,0.0,0,5,10,0,0.0,7.6,0.32,0
147,1,11,1,10,11,1,1,0,0,0,6,8,5,11.2,0,6,12,3,11.666666666666666,7.6,0.32,0
148,1,9,1,3,11,0,1,0,0,0,5,10,5,13.375,0,5,9,5,14.166666666666666,13.9,0.79,1
149,1,12,1,10,10,0,1,1,0,0,7,8,6,13.863333333333337,0,8,9,7,14.178571428571429,11.1,2.02,1
151,1,6,1,5,8,0,1,0,0,0,5,6,5,12.4,0,5,6,5,13.4,7.6,0.32,1
153,1,16,1,10,10,1,1,0,0,0,6,7,6,13.333333333333334,0,6,8,5,11.8,7.6,0.32,1
154,1,16,1,3,6,1,1,0,0,0,6,10,3,12.666666666666666,0,6,12,3,10.0,9.4,-3.12,0
155,1,16,1,7,7,0,1,0,0,0,6,8,6,12.0,0,6,10,4,11.5,7.6,0.32,0
156,1,9,1,10,10,0,1,1,0,0,5,5,5,10.6,0,5,5,5,11.8,12.4,1.79,1
157,2,10,1,8,10,1,1,1,0,0,6,8,6,12.25,0,6,7,6,11.857142857142858,12.7,-1.7,1
158,3,10,1,10,11,1,1,0,0,0,6,10,4,11.0,0,6,9,6,11.833333333333334,9.4,-3.12,1
160,1,14,1,5,2,0,1,0,0,0,6,6,6,13.166666666666666,0,6,9,6,13.0,10.8,1.74,0
161,1,12,1,10,8,1,1,1,0,0,7,9,7,12.855555555555554,0,8,12,7,12.761111111111113,15.5,-4.06,1
162,2,12,1,10,10,1,1,0,0,0,7,8,7,14.91875,0,8,8,8,15.355,15.5,-4.06,1
163,5,16,1,5,5,1,1,0,0,0,6,13,4,11.5,0,6,10,3,11.0,10.8,1.74,0
164,2,14,1,6,5,0,1,0,0,0,5,5,5,14.2,0,5,5,5,14.2,7.6,0.32,1
165,1,15,1,8,8,0,1,1,0,0,6,6,6,12.5,0,6,7,6,13.0,15.5,-4.06,1
167,3,10,1,8,9,0,1,0,0,0,6,10,5,11.666666666666666,0,6,12,4,11.0,13.9,0.79,1
169,1,10,1,5,9,1,1,0,0,0,6,13,3,12.0,0,6,12,2,11.333333333333334,16.2,-0.92,0
171,2,13,1,4,11,0,1,0,0,0,7,8,7,12.457142857142856,0,8,8,8,13.5625,15.5,-4.06,1
172,1,12,1,5,6,1,1,0,0,0,7,7,6,11.683333333333332,0,7,7,6,11.683333333333332,7.6,0.32,1
176,1,16,1,10,6,0,1,0,0,0,6,9,5,13.2,0,6,10,5,12.0,7.6,0.32,1
177,2,12,1,12,12,1,1,0,0,0,7,8,4,11.95,0,7,8,4,11.95,7.6,0.32,0
178,5,16,1,10,6,1,1,0,0,0,6,8,5,12.4,0,6,12,5,10.4,9.4,-3.12,0
184,2,11,1,5,7,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,11.1,2.02,0
187,3,12,1,10,5,1,1,1,0,0,7,7,6,13.05,0,7,7,6,13.05,7.6,0.32,1
188,1,6,1,10,10,1,1,0,0,0,6,10,2,11.0,0,6,6,0,0.0,8.9,3.51,0
189,4,5,1,5,2,1,1,0,0,0,6,7,6,11.5,0,6,6,6,12.0,16.2,-0.92,1
190,1,11,1,10,9,0,1,1,0,0,6,7,6,12.0,0,6,6,6,12.5,13.9,0.79,1
192,1,9,1,5,4,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
193,1,16,1,5,11,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.4,1.79,0
194,4,12,1,10,9,1,1,0,0,0,8,8,7,12.242857142857144,0,8,8,7,12.242857142857144,12.7,-1.7,1
196,6,12,1,6,6,1,1,0,0,0,8,8,8,12.93375,0,8,8,8,12.93375,9.4,-3.12,1
197,1,7,1,3,3,0,1,0,0,0,5,0,0,0.0,0,5,0,0,0.0,13.9,0.79,0
198,1,16,1,4,9,0,1,0,0,0,7,9,7,12.571428571428571,0,7,8,7,14.428571428571429,11.1,2.02,1
200,1,6,1,5,8,1,1,0,0,0,5,9,4,13.75,0,5,13,4,14.333333333333334,10.8,1.74,1
201,4,10,1,5,1,1,1,0,0,0,6,8,6,11.166666666666666,0,6,6,6,11.333333333333334,7.6,0.32,1
202,4,12,1,8,8,1,1,0,0,0,8,8,7,12.324285714285711,0,8,8,7,12.324285714285711,10.8,1.74,1
204,2,10,1,10,9,0,1,1,0,0,6,11,5,11.142857142857142,0,6,11,4,11.25,16.2,-0.92,1
205,1,10,1,1,1,1,1,0,0,0,6,9,4,11.0,0,6,9,4,10.75,7.6,0.32,1
206,2,12,1,10,10,1,1,0,0,0,8,8,7,12.914285714285713,0,8,8,7,12.914285714285713,12.7,-1.7,1
207,4,15,1,2,5,1,1,1,0,0,6,6,6,13.833333333333334,0,6,6,6,14.166666666666666,16.2,-0.92,1
208,1,6,1,9,8,1,1,0,0,0,6,8,6,13.857142857142858,0,6,9,5,13.4,13.9,0.79,1
209,1,11,1,3,4,0,1,1,0,0,6,7,6,13.714285714285714,0,6,6,5,12.8,16.2,-0.92,0
210,2,12,1,8,5,1,1,1,0,0,8,8,7,12.642857142857142,0,8,8,7,12.642857142857142,12.7,-1.7,1
211,1,12,1,10,10,0,1,1,0,0,7,7,6,12.916666666666666,0,7,7,6,12.916666666666666,7.6,0.32,1
212,1,8,1,10,3,1,1,1,0,0,6,8,6,15.625,0,6,8,6,15.857142857142858,13.9,0.79,1
214,1,15,1,5,6,0,1,0,0,0,6,8,6,11.714285714285714,0,6,7,6,12.0,7.6,0.32,1
216,1,9,1,6,6,1,1,1,0,0,5,7,5,11.6,0,5,5,5,11.6,12.4,1.79,1
219,1,6,1,2,4,0,1,0,0,0,5,10,0,0.0,0,5,9,2,13.5,7.6,0.32,0
220,1,9,1,8,8,0,1,1,0,0,5,7,4,13.0,0,5,8,3,12.333333333333334,9.4,-3.12,1
221,4,16,1,6,8,0,1,1,0,0,6,6,6,13.333333333333334,0,6,6,6,14.5,10.8,1.74,1
222,3,11,1,4,4,1,1,0,0,0,6,9,4,11.25,0,6,13,2,12.5,9.4,-3.12,0
223,1,12,1,6,10,0,1,1,0,0,7,9,5,13.85,0,8,9,7,12.19285714285714,11.1,2.02,1
224,1,12,1,5,6,1,1,1,0,0,7,8,6,13.741666666666667,0,8,9,7,14.9125,16.2,-0.92,1
226,1,9,1,4,11,0,1,0,0,0,5,6,5,11.0,0,5,5,5,13.8,12.4,1.79,1
227,1,10,1,10,10,0,1,1,0,0,6,6,6,12.0,0,6,7,6,12.857142857142858,11.1,2.02,1
228,2,14,1,1,1,1,1,0,0,0,5,5,0,0.0,0,5,5,0,0.0,7.6,0.32,0
229,1,12,1,6,9,1,1,1,0,0,8,15,7,11.571428571428571,0,8,15,7,11.571428571428571,12.7,-1.7,1
230,2,11,1,5,6,1,1,0,0,0,6,10,6,12.857142857142858,0,6,6,3,12.666666666666666,12.7,-1.7,1
231,1,11,1,5,7,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,15.5,-4.06,0
232,2,14,1,5,4,0,1,0,0,0,5,5,5,13.0,0,5,5,5,13.2,9.4,-3.12,1
233,1,11,1,10,10,0,1,1,0,0,6,9,5,11.0,0,6,8,5,12.0,15.5,-4.06,1
234,1,9,1,10,11,0,1,0,0,0,5,12,3,12.0,0,5,12,1,15.0,16.2,-0.92,0
235,1,10,1,10,10,0,1,1,0,0,6,6,5,12.6,0,6,6,6,13.0,10.8,1.74,1
236,1,16,1,6,8,0,1,1,0,0,6,8,5,13.4,0,6,7,6,13.166666666666666,9.4,-3.12,1
237,2,10,1,4,10,0,1,1,0,0,6,9,6,11.333333333333334,0,6,9,6,11.571428571428571,15.5,-4.06,1
242,2,9,1,6,6,1,1,1,0,0,5,5,5,11.6,0,5,5,5,13.6,12.4,1.79,1
245,1,12,1,6,4,0,1,0,0,0,8,8,8,13.22,0,8,8,8,13.22,9.4,-3.12,1
246,3,12,1,8,7,1,1,1,0,0,8,8,7,13.151428571428571,0,8,8,7,13.151428571428571,10.8,1.74,1
248,3,11,1,5,8,1,1,0,0,0,6,8,6,11.333333333333334,0,6,8,4,12.25,11.1,2.02,1
249,1,14,1,10,9,1,1,1,0,0,6,10,6,13.25,0,6,13,5,14.142857142857142,11.1,2.02,1
251,3,15,1,8,8,1,1,1,0,0,6,6,6,15.0,0,6,6,6,12.833333333333334,8.9,3.51,0
252,1,6,1,12,7,0,1,0,0,0,5,6,5,14.4,0,5,6,5,13.0,7.6,0.32,1
254,1,9,1,5,5,0,1,0,0,0,5,8,5,12.4,0,5,6,5,10.8,8.9,3.51,1
258,1,10,1,10,9,1,1,1,0,0,6,8,5,11.666666666666666,0,6,9,5,12.666666666666666,12.4,1.79,1
260,1,11,1,10,8,0,1,1,0,0,6,8,6,11.166666666666666,0,6,10,5,10.6,15.5,-4.06,1
263,1,10,1,5,5,0,1,0,0,0,6,7,6,14.0,0,6,7,6,14.0,10.8,1.74,1
264,1,10,1,10,6,0,1,0,0,0,6,6,6,12.833333333333334,0,6,6,6,12.0,12.4,1.79,1
265,2,15,1,2,4,1,1,0,0,0,6,11,4,12.25,0,6,10,3,11.666666666666666,9.4,-3.12,1
266,4,12,1,3,4,1,1,0,0,0,8,8,7,14.828571428571427,0,8,8,7,14.828571428571427,12.7,-1.7,1
267,2,15,1,10,10,1,1,1,0,0,6,7,5,11.4,0,6,8,5,12.8,12.7,-1.7,1
268,1,5,1,10,10,1,1,1,0,0,6,6,6,13.0,0,6,8,6,12.5,10.8,1.74,1
269,5,12,1,10,10,0,1,1,0,0,8,8,7,13.671428571428573,0,8,8,7,13.671428571428573,12.7,-1.7,1
270,1,4,1,5,9,0,1,1,0,0,6,9,6,12.666666666666666,0,6,8,5,12.8,13.9,0.79,1
272,1,9,1,5,9,1,1,0,0,0,5,10,5,13.5,0,5,8,5,12.333333333333334,13.9,0.79,1
274,1,10,1,5,6,0,1,0,0,0,6,8,6,14.5,0,6,7,6,15.428571428571429,16.2,-0.92,1
275,3,12,1,5,11,1,1,0,0,0,7,7,7,13.685714285714283,0,8,8,8,15.3875,13.9,0.79,1
276,1,16,1,4,4,0,1,0,0,0,6,8,5,11.0,0,6,10,3,10.666666666666666,12.7,-1.7,0
279,1,12,1,6,6,1,1,1,0,0,7,8,7,14.00375,0,8,11,7,13.812857142857142,15.5,-4.06,1
280,2,9,1,10,10,1,1,1,0,0,5,8,4,12.0,0,5,8,4,11.4,16.2,-0.92,1
283,1,5,1,8,6,0,1,1,0,0,6,7,5,13.8,0,6,6,6,12.833333333333334,16.2,-0.92,1
285,1,15,1,5,5,0,1,0,0,0,6,6,6,12.166666666666666,0,6,6,6,13.833333333333334,7.6,0.32,1
289,1,12,1,2,2,1,1,0,0,0,8,8,8,13.385,0,8,8,8,13.385,9.4,-3.12,1
290,4,6,1,5,11,1,1,0,0,0,6,14,6,15.666666666666666,0,6,9,6,14.5,15.5,-4.06,1
291,1,4,1,7,7,0,1,1,0,0,6,9,6,14.333333333333334,0,6,7,6,13.833333333333334,13.9,0.79,1
293,4,10,1,29,29,1,1,1,0,0,6,9,6,11.666666666666666,0,6,8,6,11.666666666666666,8.9,3.51,1
294,1,5,1,4,7,1,1,1,0,0,6,9,5,12.0,0,6,10,2,11.333333333333334,8.9,3.51,0
295,1,12,1,3,5,0,1,1,0,0,8,8,7,14.725714285714288,0,8,8,7,14.725714285714288,10.8,1.74,1
296,2,15,1,10,9,1,1,1,0,0,6,6,6,14.166666666666666,0,6,6,6,13.666666666666666,12.4,1.79,1
297,1,10,1,4,4,1,1,0,0,0,6,10,6,11.571428571428571,0,6,8,6,12.333333333333334,12.4,1.79,1
298,4,13,1,5,11,1,1,0,0,0,7,7,7,12.5,0,8,8,8,13.1375,12.4,1.79,1
299,1,12,1,6,8,0,1,0,0,0,8,10,8,12.86,0,8,10,8,12.86,9.4,-3.12,1
300,4,14,1,10,8,1,1,0,0,0,6,10,6,12.25,0,6,9,6,13.714285714285714,11.1,2.02,1
301,2,6,1,10,10,1,1,1,0,0,5,7,4,12.0,0,5,5,5,12.2,10.8,1.74,1
302,1,12,1,5,10,0,1,1,0,0,7,9,7,15.116666666666667,0,8,9,8,16.168888888888887,15.5,-4.06,1
304,2,10,1,5,4,1,1,0,0,0,6,11,0,0.0,0,6,0,0,0.0,9.4,-3.12,0
306,4,14,1,6,6,1,1,0,0,0,6,8,6,11.875,0,6,11,4,14.6,11.1,2.02,1
308,3,6,1,12,12,0,1,0,0,0,5,5,5,15.2,0,5,6,5,13.2,7.6,0.32,1
310,1,10,1,3,2,0,1,0,0,0,6,6,6,14.833333333333334,0,6,7,6,15.142857142857142,11.1,2.02,1
311,1,16,1,1,1,1,1,0,0,0,6,12,3,11.333333333333334,0,6,10,3,11.333333333333334,7.6,0.32,0
312,2,9,1,5,9,0,1,1,0,0,5,5,5,11.2,0,5,5,5,11.8,11.1,2.02,1
313,4,16,1,6,8,1,1,1,0,0,6,8,5,13.4,0,6,9,5,13.666666666666666,9.4,-3.12,1
314,1,9,1,5,5,0,1,0,0,0,5,12,2,10.5,0,5,5,0,0.0,11.1,2.02,0
315,1,9,1,5,4,0,1,0,0,0,5,5,5,16.2,0,5,5,5,16.4,11.1,2.02,1
316,1,12,1,4,7,1,1,1,0,0,7,7,7,14.542857142857144,0,8,11,8,14.88181818181818,16.2,-0.92,1
317,1,12,1,4,6,0,1,0,0,0,7,7,7,13.694285714285714,0,8,9,8,14.355555555555554,11.1,2.02,1
318,1,10,1,6,10,0,1,1,0,0,6,8,6,11.285714285714286,0,6,10,6,11.857142857142858,12.4,1.79,1
321,1,12,1,8,10,1,1,1,0,0,8,8,7,13.058571428571428,0,8,8,7,13.058571428571428,10.8,1.74,1
322,1,12,1,6,2,0,1,0,0,0,7,7,7,14.3,0,8,9,8,14.055555555555555,16.2,-0.92,1
325,1,11,1,6,9,1,1,0,0,0,6,7,6,10.571428571428571,0,6,11,3,11.666666666666666,16.2,-0.92,1
326,1,12,1,10,10,1,1,0,0,0,7,7,6,13.333333333333334,0,7,7,6,13.333333333333334,7.6,0.32,1
327,1,10,1,10,7,0,1,0,0,0,6,10,6,11.857142857142858,0,6,9,5,11.0,13.9,0.79,1
331,1,7,1,5,8,0,1,0,0,0,5,6,0,0.0,0,5,5,0,0.0,16.2,-0.92,0
332,1,10,1,8,8,1,1,0,0,0,6,7,6,12.0,0,6,7,6,13.0,12.4,1.79,1
334,1,10,1,5,10,1,1,1,0,0,6,6,6,12.166666666666666,0,6,9,6,13.666666666666666,9.4,-3.12,1
336,1,16,1,3,2,0,1,0,0,0,7,8,7,15.0,0,7,7,7,14.571428571428571,12.4,1.79,1
337,4,12,1,8,8,1,1,1,0,0,8,8,8,13.39125,0,8,8,8,13.39125,9.4,-3.12,1
338,1,10,1,10,11,0,1,0,0,0,6,9,5,12.166666666666666,0,6,8,6,12.428571428571429,13.9,0.79,1
339,1,8,1,4,6,0,1,0,0,0,5,9,4,11.25,0,5,6,4,12.5,7.6,0.32,1
341,1,2,1,3,3,1,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,15.5,-4.06,0
343,1,4,1,2,3,0,1,0,0,0,6,10,6,14.0,0,6,11,6,13.1,16.2,-0.92,1
345,1,15,1,8,6,1,1,0,0,0,6,7,6,13.5,0,6,8,6,12.5,9.4,-3.12,1
348,1,10,1,10,10,0,1,0,0,0,6,8,6,13.0,0,6,6,6,13.833333333333334,12.7,-1.7,1
350,1,11,1,10,10,1,1,0,0,0,6,9,4,12.6,0,6,6,4,11.5,12.7,-1.7,0
351,1,15,1,10,9,0,1,1,0,0,6,6,6,13.666666666666666,0,6,6,6,13.333333333333334,12.4,1.79,1
353,1,12,1,10,8,0,1,1,0,0,7,7,6,14.2,0,7,7,6,14.2,7.6,0.32,1
355,1,6,1,5,6,1,1,0,0,0,6,7,6,15.0,0,6,7,6,16.428571428571427,11.1,2.02,1
356,1,12,1,10,10,0,1,0,0,0,7,9,6,12.585714285714284,0,8,9,7,13.44285714285714,13.9,0.79,1
359,1,6,1,3,4,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,8.9,3.51,0
360,4,16,1,5,2,1,1,0,0,0,6,7,6,11.666666666666666,0,6,10,6,11.833333333333334,10.8,1.74,1
361,1,15,1,10,8,0,1,0,0,0,6,13,3,12.666666666666666,0,6,12,2,10.0,10.8,1.74,0
365,1,6,1,8,6,1,1,1,0,0,6,13,6,16.153846153846153,0,6,10,6,15.75,15.5,-4.06,1
366,4,12,1,5,9,1,1,1,0,0,7,7,6,14.033333333333331,0,7,7,6,14.033333333333331,7.6,0.32,1
368,1,16,1,29,46,1,1,1,0,0,7,8,7,13.857142857142858,0,7,8,6,13.666666666666666,8.9,3.51,1
369,6,12,1,10,6,1,1,0,0,0,8,8,7,13.414285714285716,0,8,8,7,13.414285714285716,12.7,-1.7,0
372,1,15,1,5,8,0,1,1,0,0,6,6,6,13.833333333333334,0,6,7,6,14.428571428571429,15.5,-4.06,1
374,1,6,1,5,8,0,1,0,0,0,6,0,0,0.0,0,6,0,0,0.0,12.7,-1.7,0
377,1,12,1,5,5,1,1,1,0,0,7,7,7,15.135714285714286,0,8,8,8,15.287499999999998,12.4,1.79,1
380,1,12,1,6,8,0,1,1,0,0,7,13,5,12.74,0,8,12,6,10.978571428571428,16.2,-0.92,0
383,1,16,1,6,6,0,1,1,0,0,6,7,6,13.428571428571429,0,6,6,6,13.166666666666666,15.5,-4.06,1
385,1,10,1,1,1,0,1,0,0,0,6,8,6,11.5,0,6,7,6,11.166666666666666,7.6,0.32,1
386,1,16,1,10,10,0,1,0,0,0,6,6,6,13.666666666666666,0,6,9,6,12.333333333333334,7.6,0.32,1
394,2,6,1,5,4,0,1,0,0,0,6,7,6,14.857142857142858,0,6,7,6,14.0,11.1,2.02,1
